store_internal_id,rating_previous_day,number_of_raters,last_updated_at
"93","5","20","2025-05-23T22:47:32.622Z"
"94","5","20","2025-05-24T14:21:25.482Z"
"95","5","20","2025-05-24T09:47:59.057Z"
"96","5","20","2025-05-24T16:57:29.990Z"
"97","5","20","2025-05-24T16:50:00.376Z"
"98","5","20","2025-05-24T00:21:51.421Z"
"99","5","20","2025-05-24T15:25:10.901Z"
"100","5","20","2025-05-23T21:57:24.289Z"
"101","5","20","2025-05-24T15:07:10.112Z"
"102","5","20","2025-05-24T08:26:28.348Z"
"103","5","20","2025-05-24T01:28:21.166Z"
"104","5","20","2025-05-24T19:24:14.725Z"
"105","5","20","2025-05-24T15:54:09.614Z"
"106","5","20","2025-05-24T00:59:56.972Z"
"107","5","20","2025-05-24T00:21:10.966Z"
"108","5","20","2025-05-24T08:06:58.928Z"
"109","5","20","2025-05-24T18:44:44.399Z"
"110","5","20","2025-05-24T17:01:51.890Z"
"111","5","20","2025-05-24T09:40:45.255Z"
"112","5","20","2025-05-24T18:14:45.555Z"
"113","5","20","2025-05-23T21:24:22.550Z"
"114","5","20","2025-05-24T02:57:48.791Z"
"115","5","20","2025-05-24T10:06:35.855Z"
"116","5","20","2025-05-24T01:37:14.667Z"
"117","5","20","2025-05-23T23:23:39.328Z"
"118","5","20","2025-05-24T05:30:54.529Z"
"119","5","20","2025-05-24T16:15:02.594Z"
"120","5","20","2025-05-24T06:34:35.769Z"
"121","5","20","2025-05-24T05:03:43.942Z"
"122","5","20","2025-05-24T09:10:23.479Z"
"123","5","20","2025-05-23T21:03:03.369Z"
"124","5","20","2025-05-24T13:01:25.067Z"
"125","5","20","2025-05-24T07:25:56.435Z"
"126","5","20","2025-05-23T22:08:43.750Z"
"127","5","20","2025-05-24T01:17:11.931Z"
"128","5","20","2025-05-23T23:06:53.249Z"
"129","5","20","2025-05-23T21:37:36.737Z"
"130","5","20","2025-05-23T23:00:09.430Z"
"131","5","20","2025-05-24T03:42:22.778Z"
"132","5","20","2025-05-24T08:39:27.902Z"
"133","5","20","2025-05-24T14:29:15.483Z"
"134","5","20","2025-05-24T00:57:56.192Z"
"135","5","20","2025-05-24T03:29:56.248Z"
"136","5","20","2025-05-24T07:02:57.544Z"
"137","5","20","2025-05-24T10:40:31.109Z"
"138","5","20","2025-05-24T01:07:59.238Z"
"139","5","20","2025-05-24T09:48:58.817Z"
"140","5","20","2025-05-24T19:19:16.776Z"
"141","5","20","2025-05-24T19:41:57.226Z"
"142","5","20","2025-05-24T05:13:57.324Z"
"143","5","20","2025-05-24T09:31:19.521Z"
"144","5","20","2025-05-24T08:00:43.834Z"
"145","5","20","2025-05-24T16:38:01.813Z"
"146","5","20","2025-05-24T19:25:14.708Z"
"147","5","20","2025-05-24T20:14:56.859Z"
"148","5","20","2025-05-24T09:05:56.710Z"
"149","5","20","2025-05-24T08:56:50.854Z"
"150","5","20","2025-05-24T03:44:36.622Z"
"151","5","20","2025-05-24T06:02:41.650Z"
"152","5","20","2025-05-24T02:23:38.086Z"
"153","5","20","2025-05-23T22:32:37.530Z"
"154","5","20","2025-05-23T23:24:51.939Z"
"155","5","20","2025-05-24T11:08:19.253Z"
"156","5","20","2025-05-24T01:37:48.722Z"
"157","5","20","2025-05-24T02:47:46.110Z"
"158","5","20","2025-05-24T06:41:47.320Z"
"159","5","20","2025-05-24T01:09:27.790Z"
"160","5","20","2025-05-24T08:43:20.287Z"
"161","5","20","2025-05-24T18:53:53.720Z"
"162","5","20","2025-05-24T15:33:03.539Z"
"163","5","20","2025-05-24T11:31:46.968Z"
"164","5","20","2025-05-24T16:23:45.915Z"
"165","5","20","2025-05-24T02:00:10.854Z"
"166","5","20","2025-05-24T18:05:20.934Z"
"167","5","20","2025-05-24T15:01:54.492Z"
"168","5","20","2025-05-24T12:51:42.963Z"
"169","5","20","2025-05-24T00:03:32.457Z"
"170","5","20","2025-05-24T03:40:47.788Z"
"171","5","20","2025-05-24T15:36:39.429Z"
"172","5","20","2025-05-24T15:53:09.711Z"
"173","5","20","2025-05-24T02:32:11.941Z"
"174","5","20","2025-05-23T22:59:21.475Z"
"175","5","20","2025-05-24T12:21:30.913Z"
"176","5","20","2025-05-24T08:23:46.777Z"
"177","5","20","2025-05-24T06:20:43.423Z"
"178","5","20","2025-05-24T11:06:52.062Z"
"179","5","20","2025-05-24T02:53:54.237Z"
"180","5","20","2025-05-24T11:28:45.383Z"
"181","5","20","2025-05-24T15:44:30.558Z"
"182","5","20","2025-05-24T15:08:08.123Z"
"183","5","20","2025-05-23T23:06:55.200Z"
"184","5","20","2025-05-24T08:21:16.551Z"
"185","5","20","2025-05-24T11:00:08.020Z"
"186","5","20","2025-05-24T20:43:13.955Z"
"187","5","20","2025-05-24T08:18:25.943Z"
"188","5","20","2025-05-23T22:36:52.311Z"
"189","5","20","2025-05-24T00:02:19.939Z"
"190","5","20","2025-05-23T22:33:04.976Z"
"191","5","20","2025-05-24T03:06:06.848Z"
"192","5","20","2025-05-24T04:16:27.796Z"
"193","5","20","2025-05-23T22:26:22.743Z"
"194","5","20","2025-05-24T10:10:48.713Z"
"195","5","20","2025-05-24T01:14:52.670Z"
"196","5","20","2025-05-23T22:56:49.462Z"
"197","5","20","2025-05-24T01:09:25.776Z"
"198","5","20","2025-05-24T08:00:45.848Z"
"199","5","20","2025-05-24T05:14:26.794Z"
"200","5","20","2025-05-23T23:52:25.499Z"
"201","5","20","2025-05-23T22:40:06.122Z"
"202","5","20","2025-05-24T07:42:52.914Z"
"203","5","20","2025-05-24T03:35:48.138Z"
"204","5","20","2025-05-24T06:39:07.468Z"
"205","5","20","2025-05-24T19:44:21.660Z"
"206","5","20","2025-05-24T18:57:06.013Z"
"207","5","20","2025-05-24T02:43:15.788Z"
"208","5","20","2025-05-24T15:39:24.155Z"
"209","5","20","2025-05-24T18:14:04.758Z"
"210","5","20","2025-05-24T15:57:01.137Z"
"211","5","20","2025-05-24T14:14:11.969Z"
"212","5","20","2025-05-24T18:50:22.543Z"
"213","5","20","2025-05-24T03:37:24.168Z"
"214","5","20","2025-05-23T23:01:32.886Z"
"215","5","20","2025-05-24T03:14:35.392Z"
"216","5","20","2025-05-24T13:34:00.663Z"
"217","5","20","2025-05-24T11:38:45.344Z"
"218","5","20","2025-05-24T08:24:50.785Z"
"219","5","20","2025-05-24T06:13:06.499Z"
"220","5","20","2025-05-24T10:11:07.898Z"
"221","5","20","2025-05-24T20:03:28.873Z"
"222","5","20","2025-05-24T00:44:54.500Z"
"223","5","20","2025-05-24T03:28:49.673Z"
"224","5","20","2025-05-24T08:28:17.585Z"
"225","5","20","2025-05-24T09:54:00.215Z"
"226","5","20","2025-05-24T02:53:57.870Z"
"227","5","20","2025-05-24T07:46:41.215Z"
"228","5","20","2025-05-24T18:55:02.610Z"
"229","5","20","2025-05-23T22:19:49.374Z"
"230","5","20","2025-05-24T11:52:07.033Z"
"231","5","20","2025-05-24T16:24:51.118Z"
"232","5","20","2025-05-24T09:09:17.618Z"
"233","5","20","2025-05-24T03:17:06.728Z"
"234","5","20","2025-05-24T01:00:14.676Z"
"235","5","20","2025-05-24T05:15:11.610Z"
"236","5","20","2025-05-24T07:12:08.259Z"
"237","5","20","2025-05-24T10:10:40.382Z"
"238","5","20","2025-05-24T03:03:13.598Z"
"239","5","20","2025-05-23T23:04:59.327Z"
"240","5","20","2025-05-24T07:26:38.823Z"
"241","5","20","2025-05-24T11:24:51.746Z"
"242","5","20","2025-05-24T17:01:13.041Z"
"243","5","20","2025-05-24T00:46:12.762Z"
"244","5","20","2025-05-23T22:55:08.604Z"
"245","5","20","2025-05-24T15:56:31.198Z"
"246","5","20","2025-05-24T15:50:50.376Z"
"247","5","20","2025-05-24T14:56:42.985Z"
"248","5","20","2025-05-23T23:53:35.780Z"
"249","5","20","2025-05-24T19:02:29.628Z"
"250","5","20","2025-05-24T19:12:38.494Z"
"251","5","20","2025-05-24T10:16:38.460Z"
"252","5","20","2025-05-24T04:18:34.487Z"
"253","5","20","2025-05-24T01:36:03.483Z"
"254","5","20","2025-05-24T20:02:57.101Z"
"255","5","20","2025-05-24T09:05:38.193Z"
"256","5","20","2025-05-24T03:43:35.254Z"
"257","5","20","2025-05-24T17:40:30.474Z"
"258","5","20","2025-05-24T12:28:30.770Z"
"259","5","20","2025-05-24T00:33:55.222Z"
"260","5","20","2025-05-24T15:03:02.081Z"
"261","5","20","2025-05-24T16:20:05.156Z"
"262","5","20","2025-05-24T14:10:10.273Z"
"263","5","20","2025-05-24T18:00:28.287Z"
"264","5","20","2025-05-24T07:21:23.745Z"
"265","5","20","2025-05-23T23:27:07.602Z"
"266","5","20","2025-05-24T07:57:57.657Z"
"267","5","20","2025-05-24T11:47:04.102Z"
"268","5","20","2025-05-24T12:27:01.343Z"
"269","5","20","2025-05-24T05:42:46.625Z"
"270","5","20","2025-05-24T20:32:21.270Z"
"271","5","20","2025-05-24T20:26:49.731Z"
"272","5","20","2025-05-24T10:43:17.913Z"
"273","5","20","2025-05-24T19:37:42.410Z"
"274","5","20","2025-05-24T03:16:12.718Z"
"275","5","20","2025-05-24T16:06:38.423Z"
"276","5","20","2025-05-24T10:20:39.327Z"
"277","5","20","2025-05-24T17:19:23.438Z"
"278","5","20","2025-05-24T14:44:15.404Z"
"279","5","20","2025-05-24T20:54:34.692Z"
"280","5","20","2025-05-24T11:42:02.293Z"
"281","5","20","2025-05-23T23:20:58.567Z"
"282","5","20","2025-05-24T19:11:31.615Z"
"283","5","20","2025-05-24T10:55:28.444Z"
"284","5","20","2025-05-23T23:53:19.106Z"
"285","5","20","2025-05-24T02:14:37.652Z"
"286","5","20","2025-05-23T22:03:49.977Z"
"287","5","20","2025-05-24T03:56:45.379Z"
"288","5","20","2025-05-23T21:34:15.242Z"
"289","5","20","2025-05-24T06:54:35.660Z"
"290","5","20","2025-05-24T19:49:30.035Z"
"291","5","20","2025-05-24T13:24:49.067Z"
"292","5","20","2025-05-24T19:20:52.652Z"
"293","5","20","2025-05-24T07:58:53.074Z"
"294","5","20","2025-05-24T04:00:04.128Z"
"295","5","20","2025-05-24T14:55:20.525Z"
"296","5","20","2025-05-24T09:02:47.922Z"
"297","5","20","2025-05-24T09:27:41.712Z"
"298","5","20","2025-05-24T08:14:22.840Z"
"299","5","20","2025-05-24T17:36:30.762Z"
"300","5","20","2025-05-24T06:23:05.447Z"
"301","5","20","2025-05-24T04:41:38.369Z"
"302","5","20","2025-05-24T15:37:07.742Z"
"303","5","20","2025-05-24T07:12:55.906Z"
"304","5","20","2025-05-24T13:49:28.559Z"
"305","5","20","2025-05-24T12:34:22.902Z"
"306","5","20","2025-05-24T15:33:16.466Z"
"307","5","20","2025-05-24T02:17:53.702Z"
"308","5","20","2025-05-24T14:30:05.616Z"
"309","5","20","2025-05-24T13:29:03.683Z"
"310","5","20","2025-05-23T22:04:54.496Z"
"311","5","20","2025-05-24T12:22:34.680Z"
"312","5","20","2025-05-24T07:52:57.373Z"
"313","5","20","2025-05-24T06:54:25.670Z"
"314","5","20","2025-05-24T19:51:19.855Z"
"315","5","20","2025-05-24T13:49:51.812Z"
"316","5","20","2025-05-24T17:42:08.737Z"
"317","5","20","2025-05-24T05:31:41.847Z"
"318","5","20","2025-05-24T13:19:26.386Z"
"319","5","20","2025-05-24T14:44:13.377Z"
"320","5","20","2025-05-24T15:59:23.233Z"
"321","5","20","2025-05-24T01:39:22.570Z"
"322","5","20","2025-05-23T22:41:29.912Z"
"323","5","20","2025-05-24T15:47:47.329Z"
"324","5","20","2025-05-24T14:30:57.526Z"
"325","5","20","2025-05-24T10:50:54.116Z"
"326","5","20","2025-05-24T05:36:02.766Z"
"327","5","20","2025-05-24T19:02:40.917Z"
"328","5","20","2025-05-24T10:58:06.715Z"
"329","5","20","2025-05-24T16:06:50.096Z"
"330","5","20","2025-05-24T16:37:48.601Z"
"331","5","20","2025-05-24T13:46:03.209Z"
"332","5","20","2025-05-24T07:34:59.206Z"
"333","5","20","2025-05-23T23:44:44.896Z"
"334","5","20","2025-05-24T04:14:50.786Z"
"335","5","20","2025-05-24T17:03:25.081Z"
"336","5","20","2025-05-24T05:25:02.813Z"
"337","5","20","2025-05-24T03:25:21.903Z"
"338","5","20","2025-05-24T00:13:07.818Z"
"339","5","20","2025-05-23T23:33:27.959Z"
"340","5","20","2025-05-24T12:57:31.616Z"
"341","5","20","2025-05-24T03:06:25.939Z"
"342","5","20","2025-05-23T21:56:26.848Z"
"343","5","20","2025-05-24T19:48:43.922Z"
"344","5","20","2025-05-23T21:30:26.782Z"
"345","5","20","2025-05-24T05:11:45.509Z"
"346","5","20","2025-05-24T19:16:34.265Z"
"347","5","20","2025-05-24T14:50:44.271Z"
"348","5","20","2025-05-24T17:32:59.699Z"
"349","5","20","2025-05-24T13:56:41.237Z"
"350","5","20","2025-05-24T18:38:03.645Z"
"351","5","20","2025-05-23T21:08:43.492Z"
"352","5","20","2025-05-24T18:18:36.291Z"
"353","5","20","2025-05-24T14:38:10.602Z"
"354","5","20","2025-05-24T14:16:02.120Z"
"355","5","20","2025-05-24T06:28:34.061Z"
"356","5","20","2025-05-24T06:04:13.448Z"
"357","5","20","2025-05-24T13:01:35.047Z"
"358","5","20","2025-05-24T08:11:36.585Z"
"359","5","20","2025-05-24T09:58:32.603Z"
"360","5","20","2025-05-24T09:20:51.227Z"
"361","5","20","2025-05-24T10:10:54.119Z"
"362","5","20","2025-05-24T20:42:51.045Z"
"363","5","20","2025-05-24T19:12:55.422Z"
"364","5","20","2025-05-24T04:35:58.709Z"
"365","5","20","2025-05-24T10:53:37.749Z"
"366","5","20","2025-05-24T16:27:33.019Z"
"367","5","20","2025-05-24T12:00:14.239Z"
"368","5","20","2025-05-24T00:56:32.275Z"
"369","5","20","2025-05-24T17:39:37.317Z"
"370","5","20","2025-05-24T11:56:43.621Z"
"371","5","20","2025-05-24T15:05:56.044Z"
"372","5","20","2025-05-24T14:41:18.735Z"
"373","5","20","2025-05-24T01:33:40.383Z"
"374","5","20","2025-05-24T01:51:03.293Z"
"375","5","20","2025-05-24T00:57:05.681Z"
"376","5","20","2025-05-24T15:10:52.971Z"
"377","5","20","2025-05-24T13:33:54.642Z"
"378","5","20","2025-05-24T08:11:54.636Z"
"379","5","20","2025-05-23T21:41:09.066Z"
"380","5","20","2025-05-24T05:31:48.964Z"
"381","5","20","2025-05-24T18:09:25.534Z"
"382","5","20","2025-05-24T08:16:43.164Z"
"383","5","20","2025-05-24T02:22:47.829Z"
"384","5","20","2025-05-24T20:19:26.275Z"
"385","5","20","2025-05-24T18:14:12.652Z"
"386","5","20","2025-05-24T11:00:17.069Z"
"387","5","20","2025-05-24T15:38:00.771Z"
"388","5","20","2025-05-24T02:11:54.848Z"
"389","5","20","2025-05-24T17:29:14.130Z"
"390","5","20","2025-05-24T02:37:40.076Z"
"391","5","20","2025-05-24T20:02:09.652Z"
"392","5","20","2025-05-24T13:24:50.497Z"
"393","5","20","2025-05-24T20:15:08.515Z"
"394","5","20","2025-05-24T14:14:10.621Z"
"395","5","20","2025-05-23T20:59:03.908Z"
"396","5","20","2025-05-24T02:17:11.252Z"
"397","5","20","2025-05-23T22:10:40.219Z"
"398","5","20","2025-05-23T21:37:55.829Z"
"399","5","20","2025-05-24T07:00:13.106Z"
"400","5","20","2025-05-24T04:35:08.080Z"
"401","5","20","2025-05-24T14:35:24.770Z"
"402","5","20","2025-05-24T18:38:14.560Z"
"403","5","20","2025-05-24T00:25:33.759Z"
"404","5","20","2025-05-24T07:01:09.650Z"
"405","5","20","2025-05-23T22:42:20.081Z"
"406","5","20","2025-05-24T15:35:36.955Z"
"407","5","20","2025-05-24T14:20:39.723Z"
"408","5","20","2025-05-24T14:30:02.131Z"
"409","5","20","2025-05-24T10:37:18.588Z"
"410","5","20","2025-05-24T12:23:31.445Z"
"411","5","20","2025-05-23T23:47:06.018Z"
"412","5","20","2025-05-24T14:34:18.537Z"
"413","5","20","2025-05-24T06:30:56.132Z"
"414","5","20","2025-05-24T15:12:52.776Z"
"415","5","20","2025-05-24T08:49:01.098Z"
"416","5","20","2025-05-24T10:40:57.020Z"
"417","5","20","2025-05-24T10:26:39.944Z"
"418","5","20","2025-05-23T21:57:25.948Z"
"419","5","20","2025-05-24T11:05:57.823Z"
"420","5","20","2025-05-24T07:28:35.637Z"
"421","5","20","2025-05-24T19:40:35.837Z"
"422","5","20","2025-05-24T19:05:07.004Z"
"423","5","20","2025-05-23T23:42:45.063Z"
"424","5","20","2025-05-24T11:27:53.959Z"
"425","5","20","2025-05-24T07:19:12.227Z"
"426","5","20","2025-05-24T14:40:33.765Z"
"427","5","20","2025-05-24T17:01:20.174Z"
"428","5","20","2025-05-24T03:21:00.075Z"
"429","5","20","2025-05-24T08:11:32.159Z"
"430","5","20","2025-05-24T16:43:50.346Z"
"431","5","20","2025-05-24T06:21:05.493Z"
"432","5","20","2025-05-23T22:20:32.612Z"
"433","5","20","2025-05-24T12:28:08.145Z"
"434","5","20","2025-05-24T19:12:27.747Z"
"435","5","20","2025-05-24T02:48:45.260Z"
"436","5","20","2025-05-24T11:18:23.701Z"
"437","5","20","2025-05-24T17:26:19.800Z"
"438","5","20","2025-05-23T22:22:52.721Z"
"439","5","20","2025-05-23T22:53:13.934Z"
"440","5","20","2025-05-24T16:24:57.080Z"
"441","5","20","2025-05-24T17:40:19.439Z"
"442","5","20","2025-05-24T17:27:20.159Z"
"443","5","20","2025-05-24T07:45:31.151Z"
"444","5","20","2025-05-24T14:54:16.060Z"
"445","5","20","2025-05-24T15:48:03.577Z"
"446","5","20","2025-05-24T15:03:29.278Z"
"447","5","20","2025-05-24T03:33:07.338Z"
"448","5","20","2025-05-24T03:06:04.566Z"
"449","5","20","2025-05-24T12:05:21.291Z"
"450","5","20","2025-05-24T15:27:02.861Z"
"451","5","20","2025-05-24T02:14:20.632Z"
"452","5","20","2025-05-24T20:45:02.113Z"
"453","5","20","2025-05-24T09:55:31.987Z"
"454","5","20","2025-05-24T05:07:48.896Z"
"455","5","20","2025-05-24T07:52:17.869Z"
"456","5","20","2025-05-24T16:38:11.555Z"
"457","5","20","2025-05-24T08:32:12.486Z"
"458","5","20","2025-05-24T13:15:22.645Z"
"459","5","20","2025-05-24T12:09:25.362Z"
"460","5","20","2025-05-24T15:53:14.580Z"
"461","5","20","2025-05-24T16:14:19.738Z"
"462","5","20","2025-05-23T23:51:15.869Z"
"463","5","20","2025-05-24T20:03:04.483Z"
"464","5","20","2025-05-24T18:32:34.877Z"
"465","5","20","2025-05-24T03:21:42.565Z"
"466","5","20","2025-05-24T09:51:31.526Z"
"467","5","20","2025-05-24T09:04:56.310Z"
"468","5","20","2025-05-24T12:49:54.181Z"
"469","5","20","2025-05-24T00:15:03.414Z"
"470","5","20","2025-05-24T09:49:35.093Z"
"471","5","20","2025-05-24T03:49:34.645Z"
"472","5","20","2025-05-24T19:20:09.277Z"
"473","5","20","2025-05-23T21:08:15.090Z"
"474","5","20","2025-05-23T22:15:58.834Z"
"475","5","20","2025-05-24T17:35:26.759Z"
"476","5","20","2025-05-24T19:19:33.008Z"
"477","5","20","2025-05-24T00:20:36.983Z"
"478","5","20","2025-05-24T16:13:02.890Z"
"479","5","20","2025-05-23T21:53:06.386Z"
"480","5","20","2025-05-24T17:11:46.634Z"
"481","5","20","2025-05-24T20:41:46.706Z"
"482","5","20","2025-05-24T05:07:32.309Z"
"483","5","20","2025-05-24T06:57:47.977Z"
"484","5","20","2025-05-24T02:34:51.318Z"
"485","5","20","2025-05-24T11:04:41.058Z"
"486","5","20","2025-05-23T22:37:04.195Z"
"487","5","20","2025-05-24T05:53:45.937Z"
"488","5","20","2025-05-24T00:18:03.082Z"
"489","5","20","2025-05-23T22:50:07.033Z"
"490","5","20","2025-05-24T15:52:42.949Z"
"491","5","20","2025-05-24T07:51:45.183Z"
"492","5","20","2025-05-24T05:12:18.926Z"
"493","5","20","2025-05-24T17:22:03.315Z"
"494","5","20","2025-05-24T06:36:03.681Z"
"495","5","20","2025-05-23T23:20:11.424Z"
"496","5","20","2025-05-24T16:57:26.127Z"
"497","5","20","2025-05-24T06:04:18.289Z"
"498","5","20","2025-05-24T13:17:46.879Z"
"499","5","20","2025-05-24T06:47:46.644Z"
"500","5","20","2025-05-24T09:36:47.757Z"
"501","5","20","2025-05-24T03:00:22.865Z"
"502","5","20","2025-05-24T10:40:17.750Z"
"503","5","20","2025-05-24T13:39:11.935Z"
"504","5","20","2025-05-24T08:32:07.667Z"
"505","5","20","2025-05-24T09:06:03.279Z"
"506","5","20","2025-05-24T19:55:50.745Z"
"507","5","20","2025-05-24T17:33:53.575Z"
"508","5","20","2025-05-24T17:47:50.155Z"
"509","5","20","2025-05-24T00:42:06.583Z"
"510","5","20","2025-05-24T17:28:35.834Z"
"511","5","20","2025-05-24T06:51:46.063Z"
"512","5","20","2025-05-24T08:32:51.406Z"
"513","5","20","2025-05-24T00:01:49.885Z"
"514","5","20","2025-05-24T03:59:47.109Z"
"515","5","20","2025-05-24T18:52:28.570Z"
"516","5","20","2025-05-24T03:09:50.647Z"
"517","5","20","2025-05-24T05:55:11.194Z"
"518","5","20","2025-05-24T02:38:08.717Z"
"519","5","20","2025-05-24T11:52:21.440Z"
"520","5","20","2025-05-24T19:52:40.656Z"
"521","5","20","2025-05-24T05:37:46.810Z"
"522","5","20","2025-05-24T13:16:00.432Z"
"523","5","20","2025-05-24T15:36:57.966Z"
"524","5","20","2025-05-24T17:09:42.495Z"
"525","5","20","2025-05-24T17:42:22.012Z"
"526","5","20","2025-05-24T11:26:14.041Z"
"527","5","20","2025-05-23T21:21:14.918Z"
"528","5","20","2025-05-24T07:47:05.336Z"
"529","5","20","2025-05-24T17:57:20.734Z"
"530","5","20","2025-05-24T00:44:40.490Z"
"531","5","20","2025-05-24T08:23:07.859Z"
"532","5","20","2025-05-24T18:45:12.736Z"
"533","5","20","2025-05-24T00:01:13.798Z"
"534","5","20","2025-05-24T03:55:22.472Z"
"535","5","20","2025-05-24T06:32:24.109Z"
"536","5","20","2025-05-24T02:47:52.413Z"
"537","5","20","2025-05-24T07:49:25.860Z"
"538","5","20","2025-05-24T00:46:39.896Z"
"539","5","20","2025-05-24T06:16:12.604Z"
"540","5","20","2025-05-24T04:59:36.648Z"
"541","5","20","2025-05-24T18:27:54.184Z"
"542","5","20","2025-05-24T04:16:17.929Z"
"543","5","20","2025-05-23T22:40:31.176Z"
"544","5","20","2025-05-24T19:31:15.783Z"
"545","5","20","2025-05-23T22:48:58.150Z"
"546","5","20","2025-05-24T03:10:20.663Z"
"547","5","20","2025-05-24T01:54:44.482Z"
"548","5","20","2025-05-24T12:36:03.803Z"
"549","5","20","2025-05-24T12:03:47.677Z"
"550","5","20","2025-05-24T15:50:08.499Z"
"551","5","20","2025-05-24T17:15:28.707Z"
"552","5","20","2025-05-24T03:17:51.589Z"
"553","5","20","2025-05-24T00:34:58.570Z"
"554","5","20","2025-05-24T09:49:24.101Z"
"555","5","20","2025-05-24T08:59:14.429Z"
"556","5","20","2025-05-24T11:54:51.489Z"
"557","5","20","2025-05-24T00:52:48.689Z"
